DATE,PREDICTIONS
2020-12-09,18274.616805502214
2020-12-10,17391.230019005015
2020-12-11,16299.046165004838
2020-12-12,15306.395080455113
2020-12-13,14522.997259338617
2020-12-14,14040.307774859017
2020-12-15,13866.228487572633
2020-12-16,13884.460694943557
2020-12-17,13969.187122392237
2020-12-18,14016.901113863802
2020-12-19,13958.102635838557
2020-12-20,13763.32162659522
2020-12-21,13444.634090608684
2020-12-22,13048.520238922443
2020-12-23,12638.43233416928
2020-12-24,12272.471372802276
2020-12-25,11986.17374786362
2020-12-26,11787.073041824624
2020-12-27,11657.95689431904
2020-12-28,11573.257819088874
2020-12-29,11506.209716586165
2020-12-30,11434.431634010049
2020-12-31,11343.519697716923
2021-01-01,11227.669864624155
2021-01-02,11088.583833469429
2021-01-03,10933.1988106739
2021-01-04,10770.808689343394
2021-01-05,10610.71957339556
2021-01-06,10459.652782098274
2021-01-07,10320.766519825207
